ligne;km_db;sect_db;km_fin;sect_fin;longueur;etat;an_d_ref;an_p_ref;typ_voie;typ_rail;an_rail;typ_trav;an_trav;typ_att;typ_bala;d_supers;d_infras;d_geotex;d_draina;p_supers;p_infras;p_draina;remarques;qualite_acier;dur_vie_rest;ac_rail;grave_pss;id;niv_av_acrail;niv_prebalast;niv_voie_ap_2bourr
;0;;0;;0;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;09d99a28-4ae1-476d-bda0-857ff3b7cd08;0;0;0
;0;;0;;1;0;0;0;;;0;;0;;;;;;;;;;;;;;;c434db14-46cc-4a1d-b187-f35857f730cd;0;0;0
;0;;0;;1;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;8832b1be-32fd-468b-bb82-f2ad20407428;0;0;0
;0;;0;;2;0;0;0;;;0;;0;;;;;;;;;;;;;;;3ba50ade-4321-4ecb-8b41-09a27181b920;0;0;0
CM;0;;0;;3;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;CFF Q1;;;;;;;;;R 260;%;;;4393b80f-7bf9-40f2-84bc-280dd015bfe7;0;0;0
;0;;0;;3;0;0;0;;;0;;0;;;;;;;;;;;;;;;dc5dbf32-52ca-47a0-aa33-fc5d1b370378;0;0;0
;0;;0;;3;0;0;0;;;0;;0;;;;;;;;;;;;;;;81e36bcc-a16e-468e-9f5e-69059390c09e;0;0;0
;0;;0;;3;0;0;0;;;0;;0;;;;;;;;;;;;;;;24fb3d14-ea10-45b6-986a-43d611b606cd;0;0;0
;0;;0;;3;0;0;0;;;0;;0;;;;;;;;;;;;;;;0c3029d0-e980-45f5-a747-ee90bb013d64;0;0;0
Bull;0;;0;;3;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;30ca4c58-eb33-45bb-808b-7d6d8f441f22;0;0;0
CM;16.407;Vuadens;16.411;Vuadens;4;1;2020;2053;Soudée;CFF I;2020;Bois;2020;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;;t;t;63c4817c-a7a0-4fed-a512-21905212edb0;-730;-440;-20
CM;0;;0;;4;1;2019;2052;Soudée;CFF I;2019;;2019;;CFF Q1;f;f;f;f;f;f;f;;R 260;%;f;f;a7f18f9c-b744-45fd-9401-33eb735b6406;0;0;0
CM;0;;0;;4;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;4052a597-edb5-4eab-9e75-1ff654433100;0;0;0
BR;0;;0;;4;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;e27d7318-7b02-4ece-a037-041cbedfc201;0;0;0
;0;;0;;5;0;0;0;;;0;;0;;;;;;;;;;;;;;;b4acb412-49a6-4b38-bd82-3985291e9d4e;0;0;0
CM;0;;0;;5;1;2020;2053;Soudée;CFF I;2020;;0;;;t;f;f;f;t;f;f;;R 350 HT;;f;f;915e9453-b43a-4208-9407-34e392019eae;0;0;0
FMA;0;G7;0;G7;6;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;eb22f4f7-65a2-48f0-ad33-0cee0f41be2f;0;0;0
FMA;0;G7;0;G7;6;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f6b4957c-94e9-468e-9bbd-908e3b56a121;0;0;0
;0;;0;;6;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;118887cd-81d0-4329-9643-444b6e3ed727;0;0;0
;0;;0;;6;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;849442d3-9f78-4e75-98c5-5d8a7287a90e;0;0;0
CM;17.179;PI de Planches-Mailles;17.187;PI de Planches-Mailles;7;1;2020;2053;Soudée;CFF I;2020;Bois;2020;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;;t;t;2c8dfc5b-682f-4e66-9e07-182ddb68a4a6;-730;-440;-20
CM;0;;0;;7;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;;f;f;f;f;f;f;f;;;;f;f;0b161380-4499-4da1-9094-d5a448d3dae9;0;0;0
;0;;0;;7;0;0;0;;;0;;0;;;;;;;;;;;;;;;a15aa698-bdc5-41f3-baf1-a7b772795c13;0;0;0
FMA;0;G7;0;G7;7;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;5a145ad9-efd1-471a-905a-dd43842e8ff0;0;0;0
FMA;0;G7;0;G7;7;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;5915875b-c9c0-4cbf-9b35-738d6e95397f;0;0;0
CM;0;;0;;8;1;2022;2055;Soudée;CFF IV;2022;Bois;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;fc4749aa-66c8-4238-99b7-18de7c501d42;0;0;0
CM;0;;0;;8;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;;f;f;f;f;f;f;f;;;;f;f;59b8e0c1-876e-4b08-a735-dd7ab499644a;0;0;0
CM;0;;0;;8;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;;f;f;f;f;f;f;f;;;;f;f;cb2fe944-66a9-44ae-bb70-fd35ea041105;0;0;0
FMA;0;G7;0;G7;8;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;4704afa0-04cb-4c68-844c-b58c7f5af972;0;0;0
FMA;0;G7;0;G7;8;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;e243d86c-1ff5-420d-b111-408b71715f9d;0;0;0
FMA;0;G7;0;G7;8;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;3df0ed09-6a60-4737-adde-c09a9d13a2f3;0;0;0
;0;;0;;8;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;5bb54c0d-a3a5-43cd-ba3a-ad7b844f4bdb;0;0;0
CM;0;;0;;9;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;c1bfe7af-52b3-4a50-8a9a-3df55ad204a4;0;0;0
;0;;0;;9;0;0;0;;;0;;0;;;;;;;;;;;;;;;26eb50ae-8e8f-4180-994d-96a15abc0d1a;0;0;0
PC;93.775;PN de Tatroz;93.785;PN de Tatroz;10;1;2016;2049;Soudée;CFF I;2014;Bois;2014;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;88%;t;f;b95bada0-0e38-46bf-a7f5-e5fad9d52a16;0;0;0
CM;0;Montbovon;0;Montbovon;10;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;de1f3cb9-d44b-468a-bb98-3bd4f44da867;0;0;0
;0;;0;;10;0;0;0;;;0;;0;;;;;;;;;;;;;;;6ab79f27-2b20-4a30-8682-af2403b7e6a6;0;0;0
PC;95.73;PN Rouvena;95.74;PN Rouvena;10;1;2016;2049;Soudée;CFF I;2014;Bois;2014;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;88%;t;f;658dec21-1c4f-4743-ad6d-478a1e525038;0;0;0
CM;0;;0;;11;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;ff7c0da0-f301-4906-a643-ce0b4fd7cfc5;0;0;0
BR;0;;0;;12;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;7d07be64-9097-4dd8-8481-d339451e7864;0;0;0
FMA;20.484;;20.496;;12;1;2017;2050;Soudée;CFF I;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;91%;t;f;98a1d2db-0800-42c1-bebb-3760fc770f59;0;0;0
FMA;20.484;;20.496;;12;1;2017;2050;Soudée;CFF I;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;91%;t;f;411172b4-f180-412c-938e-dad46ac5560f;0;0;0
CM;0;Montbovon;0;Montbovon;13;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;bc61fb47-8004-4532-841c-82e25da38037;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;868114a8-a785-40cc-a167-62321d73b257;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;dc3043e1-e342-4a57-bd2e-564bf4402e39;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;231f2de6-4d7d-4a87-9288-f738d42167c1;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;0de88b83-4d16-48e6-8d81-4ada03356a3f;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;b8130b8f-528f-40de-aecf-7d969cfc8eaa;0;0;0
CM;0;;0;;14;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;83d82059-19d3-4679-bf34-5bd00b6d724a;0;0;0
CM;0;;0;;14;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;45e4c303-8771-49b2-9802-b9292d5a038a;0;0;0
CM;0;;0;;14;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;ba57830d-85cb-4783-bc69-0e51367f5189;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f0fab6f8-7c7b-46ca-9efc-12fe65206e2e;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;fb52602d-f570-42b6-adc5-46b3936fcbe9;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;74fbd9db-c0a2-4963-bfc4-7d3ce0039c15;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;3dfea6b0-9ae2-4451-ac8a-d90bbf114d70;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;fa82826b-25df-48fd-8061-4621255bf4c9;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;e9c1903e-9e55-4a20-b24d-b96f0ed872c7;0;0;0
CM;0;Montbovon;0;Montbovon;14;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;91fb6d67-d26d-4a61-8fa6-6b8a893e77cc;0;0;0
FMA;0;G7;0;G7;14;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;b7587be1-cf59-404d-858a-b4d313c1ca99;0;0;0
FMA;0;G7;0;G7;14;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;2565f2bb-99fe-4426-8e28-31660e4be3cd;0;0;0
