Linie,groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min
Chatel-St-Denis - Montbovon,1,0.04695,0.05578429214606742,1.3110669340689662,1.4375415379792464,0.0285709995,0.031116387376126126,1.3150055685335698,2.571501417816796,0.069265,0.07999470568764046,1.3691690234192035,1.747748620708795,0.053209999,0.0591014599771167,1.142245667188578,1.4732753362569069,0.049337000000000006,0.052208099099099105,1.1127612362450634,1.6664981709931324,0.040756,0.04827412296690308,1.7082944592065548,3.2997247922517836,6320.961,6432.211,0.0,111.25,0.069265,0.053209999,Median_30_300_r,Median_30_300_l,0.069265,0.010735000000000008,0.026790001,0.010735000000000008
Chatel-St-Denis - Montbovon,2,0.05901,0.06296826785714285,1.1186663769697291,2.116709586691444,0.031273000999999995,0.03311335121428571,1.7743481980957054,5.1708759902957,0.08318400000000001,0.08166322623809524,0.015590614185021577,0.07449526140212637,0.058885999499999994,0.05701785714285715,0.35050295763212025,0.24637472625981305,0.0287739995,0.03611480358928571,1.2453265535607838,0.7501570004663805,0.037903000000000006,0.04221984525,1.86534185886085,3.0446666483687057,6432.211,6474.211,101.0,42.0,0.08318400000000001,0.058885999499999994,Median_30_300_r,Median_30_300_l,0.08318400000000001,-0.0031840000000000063,0.021114000500000007,-0.0031840000000000063
Chatel-St-Denis - Montbovon,3,0.041064499000000004,0.04490506461808118,1.5625400093993056,4.3654690759233885,0.022574,0.02453698707195572,1.7484259208356443,5.738630622325184,0.058969999999999995,0.06379430816236163,1.139056518383902,1.47331327734946,0.044788998999999996,0.052919669647601475,2.2645355385234605,6.15719246066387,0.0408515,0.04475639298523985,1.0413678331691683,0.9660386728307704,0.0477705,0.049960730640221405,0.8952512985428899,0.5596935404678143,6474.211,6609.711,0.0,135.5,0.058969999999999995,0.0477705,Median_300_1000_r,Median_30_300_l,0.058969999999999995,0.021030000000000007,0.0322295,0.021030000000000007
Chatel-St-Denis - Montbovon,4,0.03365,0.03524026613230769,1.128697297656154,2.279499478327722,0.019168499999999998,0.021536620026153846,2.3804866110950336,8.50174998599336,0.0609949995,0.062125116892307694,0.7836815579099256,1.585841002217908,0.0511955,0.05159847540923077,0.45589305968725785,0.1763304660438556,0.041854,0.044379683064615386,0.940271224897616,0.925380929185827,0.050942,0.05135437537538461,0.4829565368915009,0.5263322936344257,6609.711,6772.211,373.0,162.5,0.0609949995,0.0511955,Median_30_300_r,Median_30_300_l,0.0609949995,0.0190050005,0.028804500000000004,0.0190050005
Chatel-St-Denis - Montbovon,6,0.045368000000000006,0.05092434828539326,2.0091119870164023,6.8367173263673156,0.027606500000000003,0.029635227245454542,1.3369493094163603,2.3520245026698268,0.07877200000000001,0.08339614604943821,1.1019008317999248,2.4104216713910462,0.060354,0.062249144958230966,0.6213462225544221,0.5037421793911467,0.035898,0.04564661351011236,1.8299236107698453,3.406302196370519,0.044755,0.06034914322811671,1.7527522679288547,3.0594010123556927,20788.61,20899.86,145.0,111.25,0.07877200000000001,0.060354,Median_30_300_r,Median_30_300_l,0.07877200000000001,0.001227999999999993,0.019646000000000004,0.001227999999999993
Chatel-St-Denis - Montbovon,7,0.0365455,0.03935487446963563,0.7382266290689407,-0.07641116129437142,0.02177,0.02378018763073852,1.1195686950586459,1.3209482264658643,0.047242001000000006,0.05055709811482255,0.7827707880393685,-0.12245365643930795,0.035572,0.03672065010766045,0.6135123001601496,-0.09222821607130083,0.0250685,0.0326243962838983,2.6749764183175975,8.30737531178584,0.026811,0.030773543664429533,1.3773938078100314,0.9033716755617429,20899.86,21026.11,0.0,126.25,0.047242001000000006,0.035572,Median_30_300_r,Median_30_300_l,0.047242001000000006,0.032757998999999996,0.044428,0.032757998999999996
Chatel-St-Denis - Montbovon,8,0.032212500000000005,0.03488260585882353,0.7291194806953466,-0.28854083431037747,0.0235205,0.024800964694117647,1.0283559041793646,1.4727995346327774,0.0459955005,0.049443764705882354,0.5765673507768072,-0.43593091547568275,0.034615499999999993,0.03628098224117647,0.49855784188172053,-0.4754535536163451,0.0272019995,0.03620402945882353,2.265379255178355,3.689179168850049,0.025673,0.03498842944705882,2.4196632212300226,4.499166100704981,21044.36,21086.86,480.0,42.5,0.0459955005,0.034615499999999993,Median_30_300_r,Median_30_300_l,0.0459955005,0.0340044995,0.04538450000000001,0.0340044995
Chatel-St-Denis - Montbovon,10,0.041583,0.04607541953943218,1.9123376549513003,7.156920119138734,0.025914999,0.028654854886435332,1.300755758756014,1.6007466978226077,0.061498000000000004,0.06610360566246057,0.9548738746559742,0.9396446049849865,0.040451999,0.04155241326182965,1.0466487860869154,2.288249799075526,0.03968,0.04386395269716088,0.8159187647071212,0.17604044380088135,0.030156,0.034117769738170343,2.5458725319382447,7.636679782082815,22272.11,22351.36,421.0,79.25,0.061498000000000004,0.040451999,Median_30_300_r,Median_30_300_l,0.061498000000000004,0.018501999999999998,0.039548001,0.018501999999999998
Chatel-St-Denis - Montbovon,11,0.042109,0.04546642358242358,0.7387174753488877,-0.01861821132078978,0.0223845,0.025153469406557376,2.675058048133945,14.17987228894663,0.05466650049999999,0.057077109707969434,1.0326676392588232,2.541751823558074,0.040261,0.041935757582737765,0.9461752554034666,1.2684230795416749,0.0444315,0.049603639208515286,2.602525539660125,11.589936356991618,0.047864,0.05466638920044668,1.9079757844167482,4.976428195987315,22351.36,22809.86,0.0,458.5,0.05466650049999999,0.047864,Median_300_1000_r,Median_30_300_l,0.05466650049999999,0.02533349950000001,0.032136000000000005,0.02533349950000001
Chatel-St-Denis - Montbovon,12,0.037663999499999996,0.039909544230088495,1.0195817306073158,1.5883948151157457,0.024428,0.02718664603539823,0.923919836463272,0.190900018559792,0.0731275,0.07464135842920354,0.24668011931698205,-0.43169676025513226,0.0499464995,0.05008335839380531,0.5658603847672226,0.9130842499556202,0.048386,0.05774593361504425,1.261687225020981,0.8241548649021677,0.0485435,0.06521053088495575,2.050343136585898,3.6085635934588236,22809.86,22866.36,467.0,56.5,0.0731275,0.0499464995,Median_30_300_r,Median_30_300_l,0.0731275,0.006872500000000004,0.030053500500000004,0.006872500000000004
