groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min,Frequence moyenne (meulage/an),tiefe/jahr,,,,,,,
1,0.084259,0.0863296511632653,0.410366381711086,0.129414670463832,0.049340001,0.0504807087142857,0.184479893513789,-0.290854666783913,0.110299,0.109756845942486,0.0112554931755836,0.592835640460169,0.070637,0.0714766029833024,0.00143419536887526,0.365057204446992,0.020501001,0.0228767031428571,1.52664896955455,1.84822631633213,0.023987001,0.0282677365584416,1.83906497602148,2.93867809664698,96421.06,96555.81,130,134.75,0.110299,0.070637,Median_30_300_r,Median_30_300_l,0.110299,-0.030299,0.009363,-0.030299,0.14,0.0112,-2.70526785714286,134.75,96421.06,96555.81,,,
24,0.054188,0.057928729030837,0.906021567249858,1.09951626169564,0.0310565005,0.0335472643039648,1.43401500999108,2.78850555850767,0.1065805,0.114856264268722,0.602759364148867,-0.0160666723465055,0.0776855,0.0859920485704846,1.18384683195692,1.14972844897529,0.0321565,0.0355927687290749,1.47969846639974,1.89287144200225,0.03218,0.0357979404867841,2.35304507691137,6.77937631549472,95031.691,95145.191,170,113.5,0.1065805,0.0776855,Median_30_300_r,Median_30_300_l,0.1065805,-0.0265805,0.0023145,-0.0265805,0.14,0.0112,-2.37325892857143,113.5,95031.691,95145.191,,,
30,0.053181,0.0572680331490066,0.724941221959093,-0.118074369433873,0.0305355005,0.0315583907251656,1.10995278417054,3.05735137838571,0.105587,0.12584623847351,0.79014140320821,-0.269415294532074,0.0839004995,0.100515996456954,1.00266545892203,0.259319279768347,0.0239715,0.0301024138741722,1.63739497049711,1.85590016891302,0.0187760005,0.0245297483145695,2.51624552756746,6.08530407089839,96222.941,96298.441,180,75.5,0.105587,0.0839004995,Median_30_300_r,Median_30_300_l,0.105587,-0.025587,-0.0039004995,-0.025587,0.14,0.0112,-2.28455357142857,75.5,96222.941,96298.441,,,
5,0.065599,0.0676255585551839,0.622981378538085,0.198761972123861,0.046144,0.0479327625150502,1.97724893610817,8.1846973815826,0.102345,0.104416505033445,0.669933899253733,0.301938669508345,0.076831001,0.0771405184013378,0.270598970624982,-0.0444989067026476,0.027952,0.0292519765953177,1.53315011777348,3.25570474517505,0.029829999,0.0345851337826087,1.19044972686115,0.772252989234619,92205.691,92280.441,169,74.75,0.102345,0.076831001,Median_30_300_r,Median_30_300_l,0.102345,-0.022345,0.00316899900000001,-0.022345,0.14,0.0112,-1.99508928571428,74.75,92205.691,92280.441,,,
11,0.066936,0.0706740820338164,1.04712479209159,2.30734160450813,0.035158,0.0372510627487923,1.05589890294313,2.12431014240946,0.098324,0.102902985425121,0.839656609454109,1.04322950097548,0.070839,0.073823338115942,0.389952533235891,-0.619898571340478,0.027783999,0.0352378646859903,1.84293014373633,2.79775151691622,0.029771,0.0320367342850242,0.729946738455134,-0.125946697330301,92942.441,92994.191,90,51.75,0.098324,0.070839,Median_30_300_r,Median_30_300_l,0.098324,-0.018324,0.009161,-0.018324,0.14,0.0112,-1.63607142857143,51.75,92942.441,92994.191,,,
31,0.0441609995,0.0788478120833333,2.75865962263664,7.46823657336711,0.0147435,0.01713729998,1.8528497089696,3.72886141872535,0.0739685005,0.131396169744681,2.07878003855892,3.25874058715196,0.0390339995,0.04670489996,1.12903626405112,0.608111555009236,0.088953,0.0948829656704545,0.637626067378285,-0.574038913909623,0.056218,0.05373406999,0.0478437763993874,-0.828430465009029,96321.31,96346.31,350,25,0.088953,0.056218,Median_300_1000_r,Median_300_1000_l,0.088953,-0.008953,0.023782,-0.008953,0.14,0.0112,-0.799375,25,96321.31,96346.31,,,
20,0.032315001,0.0346118530734694,0.971392937655933,1.34025382183895,0.021401,0.0230479632367347,1.57608480273148,3.46400955339426,0.084882,0.0931295592285714,1.30662207835827,1.76453927850525,0.066908,0.0725393999836735,1.31358398013607,2.25827551568595,0.031277999,0.0344711836530612,1.52018797357937,2.36790175284913,0.034924,0.0385148816244898,1.70526854988744,3.80696040396952,94523.691,94584.941,143,61.25,0.084882,0.066908,Median_30_300_r,Median_30_300_l,0.084882,-0.004882,0.013092,-0.004882,0.14,0.0112,-0.435892857142857,61.25,94523.691,94584.941,,,
12,0.0822484995,0.0836656612967742,0.374615151752109,0.239670545834779,0.0283505,0.0294662354258064,0.430605146544625,-0.833390570984274,0.070848,0.0726493128967742,0.421019839664072,-0.0708270980388401,0.0342914995,0.0340496935096774,0.448752846055998,-0.466624008716981,0.027158501,0.0289110709193548,1.07160032952778,0.853039270304408,0.033947,0.0393184193258064,1.20852295784619,0.595342230133293,92994.191,93071.691,250,77.5,0.0822484995,0.0342914995,Median_30_300_r,Median_10_100_l,0.0822484995,-0.00224849949999999,0.0457085005,-0.00224849949999999,0.14,0.0112,-0.20075888392857,77.5,92994.191,93071.691,,,
9,0.0664749995,0.0686245311875,0.631860649413889,0.697009264892043,0.036854,0.0383072038446602,2.06891586809308,9.38085931716726,0.082034,0.0853336233766234,0.730653482951453,1.42407046030321,0.0541435005,0.0565917701216216,0.622073870629012,0.428419299788198,0.043852,0.0425767631315789,-0.253632402574306,-0.542684484142487,0.035316,0.0353435952142857,0.350864235085603,-0.833987029102941,92893.691,92920.941,96,27.25,0.082034,0.0541435005,Median_30_300_r,Median_30_300_l,0.082034,-0.00203399999999999,0.0258564995,-0.00203399999999999,0.14,0.0112,-0.181607142857142,27.25,92893.691,92920.941,,,
17,0.044236,0.0470146680494845,0.902153896889958,0.836341053305372,0.027830999,0.0302760783525773,1.42668536597209,2.6355306072394,0.080148,0.0844615443237113,1.32918334000434,2.38803875377688,0.062,0.0657702577381443,1.18061045084499,1.78849778841578,0.027247,0.0310047278247423,2.04120681905893,4.41968630918816,0.034854,0.0378524659917526,1.60999144821828,2.90555147496695,94055.691,94176.941,105,121.25,0.080148,0.062,Median_30_300_r,Median_30_300_l,0.080148,-0.000147999999999995,0.018,-0.000147999999999995,0.14,0.0112,-0.0132142857142853,121.25,94055.691,94176.941,,,
