,groupe,groupe.1,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min,traverse,acier,profil_rail,trav_list,acier_list,rail_list,coord1,left
0,1,1,0.084259,0.0863296511632653,0.4103663817110859,0.1294146704638321,0.0493400009999999,0.0504807087142857,0.184479893513789,-0.2908546667839129,0.110299,0.1097568459424861,0.0112554931755835,0.5928356404601693,0.070637,0.0714766029833024,0.0014341953688752,0.3650572044469919,0.020501001,0.0228767031428571,1.526648969554551,1.848226316332127,0.023987001,0.0282677365584415,1.839064976021476,2.93867809664698,96.42106,96.55581,130.0,134.75,0.110299,0.070637,Median_30_300_r,Median_30_300_l,0.110299,-0.030299,0.0093629999999999,-0.030299,Béton,R 350 HT,54 E2,"['Béton', 'Béton']","['R 350 HT', 'R 350 HT']","['54 E2', '54 E2']","[Interval(96.32335, 96.44335, closed='both'), Interval(96.32335, 96.44335, closed='both')]","[96.32335, 96.32335]"
1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,90.256434,90.268434,150.0,12.0,,,,,,,,,Acier (bêches longues),R 350 HT,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)', 'Acier (bêches longues)']","['R 350 HT', 'R 350 HT', 'R 350 HT']","['46 E1', '46 E1', '46 E1']","[Interval(90.06894, 90.26894, closed='both'), Interval(90.22844, 90.26911, closed='both'), Interval(90.22844, 90.30894, closed='both')]","[90.06894, 90.22844, 90.22844]"
2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,90.206884,90.225384,130.0,18.5,,,,,,,,,Acier (bêches longues),R 350 HT,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)', 'Bois', 'Bois']","['R 350 HT', 'R 350 HT', 'R 260', 'R 260']","['46 E1', '46 E1', '46 E1', '46 E1']","[Interval(90.06894, 90.26894, closed='both'), Interval(90.06894, 90.20894, closed='both'), Interval(90.20894, 90.22844, closed='both'), Interval(90.20894, 90.22844, closed='both')]","[90.06894, 90.06894, 90.20894, 90.20894]"
3,4,4,0.0481469989999999,0.0507447569714285,0.5567418035998287,-0.4859922301073487,0.0249325,0.0270025286857142,0.8651362848032266,0.2328018376591241,0.051278,0.0541446999571428,0.8371400960481039,0.7801847046616381,0.0304305,0.0307106001857142,0.3217482952585435,-0.2236104451605904,0.038644,0.0447767428,0.9702350313388528,-0.1809128857138464,0.0237270009999999,0.0301727716285714,1.3995818073583746,0.534484833977916,90.25163400000001,90.26913400000001,150.0,17.5,0.051278,0.0304305,Median_30_300_r,Median_30_300_l,0.051278,0.028722,0.0495695,0.028722,Acier (bêches longues),R 350 HT,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)', 'Bois', 'Bois', 'Acier (bêches longues)']","['R 350 HT', 'R 350 HT', 'R 260', 'R 260', 'R 350 HT']","['46 E1', '46 E1', '46 E1', '46 E1', '46 E1']","[Interval(90.06894, 90.26894, closed='both'), Interval(90.22844, 90.26911, closed='both'), Interval(90.26894, 90.28894, closed='both'), Interval(90.26911, 90.28894, closed='both'), Interval(90.22844, 90.30894, closed='both')]","[90.06894, 90.22844, 90.26894, 90.26911, 90.22844]"
4,5,5,0.0655989999999999,0.0676255585551839,0.6229813785380851,0.1987619721238611,0.046144,0.0479327625150501,1.9772489361081715,8.184697381582604,0.1023449999999999,0.1044165050334448,0.6699338992537331,0.3019386695083454,0.076831001,0.0771405184013377,0.2705989706249824,-0.0444989067026475,0.027952,0.0292519765953177,1.5331501177734834,3.255704745175053,0.029829999,0.0345851337826086,1.1904497268611496,0.7722529892346186,92.205691,92.28044100000001,169.0,74.75,0.1023449999999999,0.076831001,Median_30_300_r,Median_30_300_l,0.1023449999999999,-0.0223449999999999,0.003168999,-0.0223449999999999,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(90.33894, 92.91942, closed='both')]",[90.33894]
5,6,6,0.0326679995,0.0367237947425373,0.9022793495260688,0.5329223832539123,0.0406779995,0.0420198544365671,1.0910171928978083,1.900793677986969,0.0598884995,0.0616376343097015,0.4212408719090798,-0.0540529483883296,0.0523135,0.0527196231044776,0.241825708005681,0.0035537050610985,0.021968,0.0249577836156716,1.1668472133487673,0.9711492859552844,0.028186001,0.0308267276604477,0.7212264877099807,-0.1887857568009656,92.35569100000001,92.422691,288.0,67.0,0.0598884995,0.0523135,Median_30_300_r,Median_30_300_l,0.0598884995,0.0201115005,0.0276865,0.0201115005,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(90.33894, 92.91942, closed='both')]",[90.33894]
6,7,7,0.034908,0.0367903203160173,0.7296194438431578,0.006029395078356,0.036008,0.0373168571428571,0.9141627309812496,1.1657222150276132,0.06099,0.0653721947575757,0.5188563738680796,-0.2868849545941412,0.0521929999999999,0.0541488354978354,0.4311943027005216,-0.0945876363336379,0.029918,0.0288010778831168,-0.2527404157518246,-0.5714360214029952,0.02689,0.0282075151385281,1.019441232029464,1.2455300511356109,92.52144100000001,92.57919100000001,192.0,57.75,0.06099,0.0521929999999999,Median_30_300_r,Median_30_300_l,0.06099,0.01901,0.027807,0.01901,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(90.33894, 92.91942, closed='both')]",[90.33894]
7,8,8,0.0371434999999999,0.038545517986,0.6868784025827236,0.5526357456189102,0.0313279999999999,0.032926038016,0.7440026479108462,0.5242019617022202,0.0604065005,0.063014118006,0.6765176760265271,0.8102600731171798,0.051009,0.0530375479739999,0.8389871194097055,0.8596171746912509,0.0296369995,0.02987371199,-0.3176980852846147,0.1604486687670729,0.0242995005,0.02561176398,1.622053333414042,4.754546290332953,92.633441,92.758441,146.0,125.0,0.0604065005,0.051009,Median_30_300_r,Median_30_300_l,0.0604065005,0.0195934995,0.028991,0.0195934995,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(90.33894, 92.91942, closed='both')]",[90.33894]
8,9,9,0.0664749994999999,0.0686245311874999,0.631860649413889,0.697009264892043,0.036854,0.0383072038446601,2.068915868093085,9.38085931716726,0.082034,0.0853336233766233,0.7306534829514526,1.4240704603032135,0.0541435005,0.0565917701216216,0.6220738706290122,0.4284192997881981,0.043852,0.0425767631315789,-0.2536324025743065,-0.5426844841424869,0.035316,0.0353435952142857,0.3508642350856027,-0.833987029102941,92.893691,92.920941,96.0,27.25,0.082034,0.0541435005,Median_30_300_r,Median_30_300_l,0.082034,-0.0020339999999999,0.0258564995,-0.0020339999999999,Acier (bêches longues),R 260,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)']","['R 260', 'R 350 HT']","['46 E1', '46 E1']","[Interval(90.33894, 92.91942, closed='both'), Interval(92.91942, 93.26063, closed='both')]","[90.33894, 92.91942]"
9,10,10,0.0631565,0.0674560000930232,0.5919958698169961,-0.0594542533500046,0.0275185005,0.0294961511046511,0.4660604080828066,-0.8647618214992892,0.0713320005,0.0734190116860465,1.098032952635832,1.6499913292287465,0.047725501,0.0485961394651162,1.1484138764116751,1.839508838749193,0.031623,0.0404628374625,1.7224359700510552,1.7721467391618946,0.031849,0.039719737525,1.9189411679597583,2.353559763217259,92.920941,92.942441,204.0,21.5,0.0713320005,0.047725501,Median_30_300_r,Median_30_300_l,0.0713320005,0.0086679994999999,0.032274499,0.0086679994999999,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(92.91942, 93.26063, closed='both')]",[92.91942]
