km_start,km_end,typ_trav,typ_rail,qualite_acier
0.22803,0.42883,Béton,54 E2,R 350 HT
0.42883,0.53791,Béton,54 E2,R 350 HT
0.53791,2.72797,Acier (bêches courtes),UST 36,R 260
2.72797,4.43804,Acier (bêches courtes),UST 36,R 260
4.43804,4.85804,Acier (bêches longues),46 E1,R 260
4.85804,6.07717,Acier (bêches courtes),UST 36,R 260
6.07717,6.24717,Acier (bêches courtes),UST 36,R 260
6.24717,6.99612,Acier (bêches courtes),UST 36,R 260
6.99612,7.16597,Bois,46 E1,R 260
7.16597,7.69576,Acier (bêches courtes),UST 36,R 260
7.69576,7.76569,Acier (bêches courtes),UST 36,R 260
7.76569,9.76547,Acier (bêches courtes),UST 36,R 260
9.76547,10.29548,Acier (bêches courtes),UST 36,R 260
10.29548,10.69675,Acier (bêches courtes),UST 36,R 260
10.69675,10.71675,Bois,46 E1,R 260
10.71675,10.84419,Acier (bêches courtes),UST 36,R 260
10.84419,11.94865,Acier (bêches courtes),UST 36,R 260
11.94865,12.90904,Acier (bêches courtes),UST 36,R 260
12.90904,12.95904,Bois,46 E1,R 260
12.95904,13.42904,Acier (bêches courtes),UST 36,R 260
13.42904,14.11934,Acier (bêches courtes),UST 36,R 260
14.11934,14.30979,Acier (bêches courtes),UST 36,R 260
14.30979,16.41104,Acier (bêches courtes),UST 36,R 260
16.41104,16.44921,Béton,46 E1,R 350 HT
16.41104,16.41104,Bois,46 E1,R 350 HT
16.44921,16.471,Bois,46 E1,R 260
16.471,17.1803,Béton,46 E1,R 350 HT
17.1803,17.1903,Bois,46 E1,R 350 HT
17.1903,18.59007,Acier (bêches courtes),UST 36,R 260
18.59007,18.60007,,,
18.60007,18.67043,,,
18.67043,19.02971,Béton,54 E2,R 350 HT
19.02971,19.0322,Béton,54 E2,R 350 HT
19.0322,19.06968,Béton,54 E2,R 350 HT
19.06968,19.09957,Béton,54 E2,R 350 HT
19.09957,19.12948,Béton,54 E2,R 350 HT
19.12948,19.13936,Béton,54 E2,R 350 HT
19.13936,19.16883,Béton,54 E2,R 350 HT
19.16883,19.33867,Béton,54 E2,R 350 HT
19.33867,19.46118,Béton,54 E2,
19.46118,19.46118,Béton,54 E2,
19.46118,19.48333,Béton,54 E2,
19.48333,19.53965,Béton,54 E2,
19.53965,19.54777,Béton,54 E2,
19.54777,19.56959,Béton,54 E2,
19.56959,19.58959,Béton,54 E2,
19.58959,19.61961,Béton,54 E2,
19.61961,20.18953,Béton,54 E2,
20.18953,20.21953,Béton,54 E2,
20.21953,20.31914,Béton,54 E2,
20.31914,20.99953,Acier (bêches longues),46 E1,R 260
