km_start,km_end,typ_trav,typ_rail,qualite_acier,rayon,groupe
90.222184,90.268434,Acier (bêches longues),46 E1,R 350 HT,150.0,2
90.206884,90.26894,Acier (bêches longues),46 E1,R 350 HT,130.0,3
90.240384,90.26894,Acier (bêches longues),46 E1,R 350 HT,150.0,4
90.26894,90.28894,Bois,46 E1,R 260,130.0,3
90.26894,90.26913400000001,Bois,46 E1,R 260,150.0,4
90.28894,90.289434,Bois,46 E1,R 260,130.0,3
90.371941,90.434441,Acier (bêches longues),46 E1,R 260,398.0,5
90.59769100000001,90.66444100000001,Acier (bêches longues),46 E1,R 260,325.0,6
90.767441,90.93794100000001,Acier (bêches longues),46 E1,R 260,100.0,7
90.99019100000001,91.16519100000001,Acier (bêches longues),46 E1,R 260,150.0,8
91.382941,91.45469100000001,Acier (bêches longues),46 E1,R 260,378.0,9
91.83094100000001,91.89469100000001,Acier (bêches longues),46 E1,R 260,410.0,10
92.057941,92.14894100000001,Acier (bêches longues),46 E1,R 260,290.0,11
92.205691,92.28044100000001,Acier (bêches longues),46 E1,R 260,169.0,12
92.35569100000001,92.422691,Acier (bêches longues),46 E1,R 260,288.0,13
92.52144100000001,92.57919100000001,Acier (bêches longues),46 E1,R 260,192.0,14
92.633441,92.758441,Acier (bêches longues),46 E1,R 260,146.0,15
92.893691,92.91942,Acier (bêches longues),46 E1,R 260,96.0,16
92.91942,92.920941,Acier (bêches longues),46 E1,R 350 HT,96.0,16
92.920941,92.942441,Acier (bêches longues),46 E1,R 350 HT,204.0,17
92.942441,92.994191,Acier (bêches longues),46 E1,R 350 HT,90.0,18
92.994191,93.071691,Acier (bêches longues),46 E1,R 350 HT,250.0,19
93.13444100000001,93.19644100000001,Acier (bêches longues),46 E1,R 350 HT,230.0,20
93.19644100000001,93.26063,Acier (bêches longues),46 E1,R 350 HT,217.0,21
93.26063,93.34244100000001,Acier (bêches longues),46 E1,R 260,217.0,21
93.387191,93.548691,Acier (bêches longues),46 E1,R 260,197.0,22
93.912191,93.95719100000001,Acier (bêches longues),46 E1,R 350 HT,395.0,23
94.05569100000001,94.176941,Acier (bêches longues),46 E1,R 350 HT,105.0,24
94.231941,94.340691,Acier (bêches longues),46 E1,R 350 HT,230.0,25
94.41269100000001,94.44444,Acier (bêches longues),46 E1,R 350 HT,190.0,26
94.44444,94.48069100000001,Acier (bêches longues),46 E1,R 260,190.0,26
94.523691,94.584941,Acier (bêches longues),46 E1,R 260,143.0,27
94.632941,94.70119100000001,Acier (bêches longues),46 E1,R 260,163.0,28
94.834941,94.874441,Acier (bêches longues),46 E1,R 350 HT,170.0,29
94.874441,94.92169100000001,Acier (bêches longues),46 E1,R 350 HT,250.0,30
95.03169100000001,95.14519100000001,Acier (bêches longues),46 E1,R 350 HT,170.0,31
95.231441,95.32494100000001,Acier (bêches longues),46 E1,R 350 HT,300.0,32
95.38319100000001,95.42738,Acier (bêches longues),46 E1,R 350 HT,257.0,33
95.42738,95.46744100000001,Acier (bêches longues),46 E1,R 260,257.0,33
95.534191,95.628191,Acier (bêches longues),46 E1,R 260,412.0,34
95.67469100000001,95.73335,Acier (bêches longues),46 E1,R 260,175.0,35
95.73335,95.736191,Bois,46 E1,R 260,175.0,35
95.87419100000001,96.04335,Acier (bêches longues),46 E1,R 260,383.0,36
96.04335,96.05869100000001,Béton,54 E2,R 350 HT,383.0,36
96.222941,96.29844100000001,Béton,54 E2,R 350 HT,180.0,37
96.32131,96.32335,Béton,54 E2,R 350 HT,350.0,38
96.42106,96.44335,Béton,54 E2,R 350 HT,130.0,1
96.32335,96.34631,Béton,54 E2,R 350 HT,350.0,38
96.40906,96.44335,Béton,54 E2,R 350 HT,135.0,39
